,Cruise,Station,Type,mon/day/yr,hh:mm,Longitude,Latitude ,Depth[m] ,QF,Temperature[deg_C] ,QF.1,Salinity[PSU] ,QF\,density[kg/m3]
0,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,5,0,14.465,0,33.2279,0,1024.7480578398206
1,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,6,0,14.4388,0,33.2328,0,1024.7618391677975
2,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,7,0,14.4127,0,33.2377,0,1024.7755942448675
3,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,8,0,14.3865,0,33.2426,0,1024.78936528413
4,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,9,0,14.3604,0,33.2475,0,1024.8031101135848
5,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,10,0,14.3342,0,33.2523,0,1024.81679399721
6,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,11,0,14.308,0,33.2572,0,1024.8305531012768
7,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,12,0,14.2819,0,33.2621,0,1024.8442860587397
8,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,13,0,14.2557,0,33.266999999999996,0,1024.858034863017
9,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,14,0,14.2296,0,33.2718,0,1024.8716804034827
10,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,15,0,14.2034,0,33.2767,0,1024.885418897916
11,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,16,0,14.1772,0,33.2816,0,1024.8991522265053
12,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,17,0,14.1511,0,33.2865,0,1024.912859511473
13,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,18,0,14.1249,0,33.2914,0,1024.9265825261816
14,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,19,0,14.0988,0,33.2962,0,1024.9402023579278
15,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,20,0,14.0726,0,33.3011,0,1024.9539230274531
16,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,21,0,14.0464,0,33.306,0,1024.9676807173653
17,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,22,0,14.0203,0,33.3109,0,1024.9814124875331
18,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,23,0,13.9941,0,33.3157,0,1024.995082692069
19,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,24,0,13.968,0,33.3206,0,1025.0088042123748
20,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,25,0,13.9418,0,33.3255,0,1025.0225413189671
21,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,26,0,13.8355,0,33.3561,0,1025.0726533094778
22,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,27,0,13.7292,0,33.3868,0,1025.1227510572019
23,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,28,0,13.623,0,33.4174,0,1025.1726595308487
24,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,29,0,13.5167,0,33.4481,0,1025.222574046557
25,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,30,0,13.2251,0,33.4518,0,1025.2888218089195
26,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,31,0,12.9335,0,33.4554,0,1025.3541490329453
27,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,32,0,12.642000000000001,0,33.4591,0,1025.4187233015305
28,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,33,0,12.3504,0,33.4628,0,1025.4825018831655
29,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,34,0,12.0588,0,33.4665,0,1025.54546030406
30,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,35,0,11.7673,0,33.4702,0,1025.6075751523265
31,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,36,0,11.4757,0,33.4739,0,1025.668879118205
32,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,37,0,11.1841,0,33.4776,0,1025.7293483486224
33,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,38,0,10.8925,0,33.4812,0,1025.7889000055347
34,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,39,0,10.600999999999999,0,33.4849,0,1025.8476671021726
35,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,40,0,10.3094,0,33.4886,0,1025.9055988847435
36,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,41,0,10.0178,0,33.4923,0,1025.9626688932667
37,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,42,0,9.9006,0,33.4655,0,1025.9660131561295
38,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,43,0,9.7835,0,33.4387,0,1025.9691903586518
39,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,44,0,9.6663,0,33.4119,0,1025.9722334474518
40,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,45,0,9.5491,0,33.3851,0,1025.975125243305
41,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,46,0,9.4892,0,33.3967,0,1025.9985368367084
42,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,47,0,9.4292,0,33.4082,0,1026.0218546274457
43,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,48,0,9.3693,0,33.4198,0,1026.045202262435
44,ct4-9908-04,130,C,7/28/04,18:57,-163.613,42.696000000000005,49,0,9.3093,0,33.4313,0,1026.068455884838
