pressure,depth,temperature,Salinity,density,oxygen
2,1.989,29.0046,33.8873,1021.238,2.92979
3,2.983,28.5072,33.9911,1021.4852,3.07316
4,3.978,28.4227,34.0155,1021.5356,2.97615
5,4.972,28.416,34.0162,1021.5426,3.35803
6,5.967,28.3491,34.0355,1021.5833,3.55787
7,6.961,28.1899,34.0873,1021.6787,3.80656
8,7.956,28.044,34.1357,1021.767,4.25642
9,8.95,27.9904,34.1547,1021.803,3.99024
10,9.945,27.9431,34.1699,1021.8342,3.40381
11,10.939,27.8757,34.1877,1021.8737,3.09457
12,11.934,27.7584,34.2156,1021.937,2.81989
13,12.928,27.5937,34.2542,1022.0237,2.6982
14,13.923,27.4277,34.2856,1022.1051,2.55685
15,14.917,27.2688,34.3124,1022.1806,2.49659
16,15.911,26.8621,34.3852,1022.3694,2.47295
17,16.906,26.7774,34.4034,1022.4142,2.4129
18,17.9,26.9732,34.3671,1022.3291,2.40121
19,18.895,26.7775,34.3971,1022.4181,2.40825
20,19.889,26.6285,34.4261,1022.4914,2.40075
21,20.883,26.4174,34.461,1022.5885,2.41417
22,21.878,26.0546,34.5174,1022.749,2.36146
23,22.872,25.9766,34.5236,1022.7822,2.38415
24,23.867,25.6562,34.5958,1022.9402,2.38685
25,24.861,25.563,34.6895,1023.044,2.38202
26,25.855,25.5019,34.7536,1023.1155,2.35093
27,26.85,25.4746,34.7827,1023.1502,2.30314
28,27.844,25.4919,34.8016,1023.1634,2.25169
29,28.839,25.41,34.7927,1023.1862,2.24927
30,29.833,25.2803,34.7766,1023.2181,2.24212
31,30.827,25.1955,34.7609,1023.2366,2.26242
32,31.822,25.1446,34.7529,1023.2503,2.2362
33,32.816,25.1048,34.7558,1023.2689,2.18453
34,33.81,25.0542,34.7524,1023.2861,2.16389
35,34.805,24.9888,34.7464,1023.3058,2.1691
36,35.799,24.8779,34.7387,1023.3379,2.15019
37,36.793,24.5988,34.7254,1023.4164,2.14952
38,37.788,24.3934,34.7266,1023.4832,2.11698
39,38.782,24.1778,34.7228,1023.549,2.10368
40,39.776,24.0408,34.7215,1023.5931,2.08751
41,40.771,24.0054,34.7204,1023.607,2.09939
42,41.765,23.9637,34.7215,1023.6245,2.08934
43,42.759,23.9156,34.7242,1023.6451,2.0799
44,43.753,23.8854,34.7254,1023.6593,2.08074
45,44.748,23.8713,34.7262,1023.6684,2.05972
46,45.742,23.8426,34.7318,1023.6854,2.03594
